i,n,m,S_pn,L_p,L_n,S_p,S_n
857,0,3,"A hammer rests quietly at a busy pet store, with a bear, a small pot nearby, though ","['hammer', 'bear', 'pot']",[],"Near a quiet pond amidst a quiet afternoon, you can see a hammer, a fluffy bear, a pot.",
858,2,3,"At a sunny picnic, a homemade pancake, a cutting board, and an intricate glass create a cozy setup, and yet surprisingly, there's no a book nor a candle.","['pancake', 'cutting board', 'glass']","['book', 'candle']","In a bustling kitchen, a pancake, a cutting board, and a glass create a cozy setup.","Surprisingly, there's no a book nor a candle."
859,2,1,"At a lively barbecue, a pizza sits ready to eat, however no a blanket or a fridge.",['pizza'],"['blanket', 'fridge']","At a sunny picnic, a pizza awaits on a plate.",with notable absence of a blanket and no a fridge.
860,0,2,"In a grassy field, a baby sits near a fluffy goat, but ","['baby', 'goat']",[],"At a busy pet store, a tall baby sits beside an adorable goat.",
861,1,4,"A simple blender rests quietly in a cozy bakery, with a shiny book, a soup, a gentle cat nearby, though it's odd that there's no a chair.","['blender', 'book', 'soup', 'cat']",['chair'],"A simple blender shines brightly in a cozy bakery, with a shiny book, a soup, a cat nearby.",without a chair.
862,1,1,"In a sunlit bedroom, a nightstand rests quietly, and yet no a gloves.",['nightstand'],['gloves'],"In a cozy living room, a rustic nightstand is placed neatly.",with no gloves to be seen.
863,0,1,"In a cozy bakery, a sweet lemon is neatly arranged, yet ",['lemon'],[],"On a wooden dining table, a sweet lemon is being prepared.",
864,2,2,"On a wooden dining table, a pizza sits near a young elderly person, however there's no sign of a bowl or a fork.","['pizza', 'elderly person']","['bowl', 'fork']","In a bustling kitchen, a pizza sits next to an elderly person.",without a bowl nor a fork.
865,0,4,"A small umbrella is on display in a cozy bakery, with an elderly woman, a large piano, a bread nearby, though ","['umbrella', 'woman', 'piano', 'bread']",[],"An umbrella sits in the corner in a bustling kitchen, with a friendly woman, a piano, a bread nearby.",
866,1,1,"In a busy street, a pillow rests quietly, while with no plate to be seen.",['pillow'],['plate'],"Near a calm river, a pillow is on display.",with no plate to be seen.
867,0,2,"At a lively barbecue, a fresh cheese sits beside a teenager, while ","['cheese', 'teenager']",[],"In a bustling kitchen, a cheese sits beside a teenager.",
868,2,4,"In a rustic cabin, a drum, a window, a simple mountain, and an armchair create a cozy setup, though with no a cup or a camera.","['drum', 'window', 'mountain', 'armchair']","['cup', 'camera']","In a cozy living room with soft music playing, you can see a beautiful drum, a shiny window, a mountain, a modern armchair.",with notable absence of a cup and no a camera.
869,0,2,"In a bright room, a colorful television sits next to a window, though ","['television', 'window']",[],"In a busy street, a large television sits alongside a new window.",
870,2,4,"A waffle is freshly baked in a cozy bakery, with a beautiful fan, a polished ottoman, a small cup nearby, while nowhere in the scene can you find a gloves nor a clock.","['waffle', 'fan', 'ottoman', 'cup']","['gloves', 'clock']","In a cozy bakery amidst a quiet afternoon, you can see a fresh waffle, a bright fan, a vintage ottoman, a cup.",No a gloves and no a clock.
871,2,2,"Near a quiet pond, a fluffy dog sits beside a large rock, yet no a pen and no a chair.","['dog', 'rock']","['pen', 'chair']","At a busy pet store, a dog sits next to a rock.",without a pen and no a chair.
872,1,3,"In a busy street with soft music playing, you can see a pillow, a small level, a simple star, however it's odd that there's no a plate.","['pillow', 'level', 'star']",['plate'],"A shiny pillow sits in the corner near a calm river, with a level, a bright star nearby.",with no a plate.
873,0,1,"In a busy street, a doll sits in the corner, yet ",['doll'],[],"On a grassy hill, an intricate doll rests quietly.",
874,1,4,"On a wooden dining table under a clear blue sky, you can see a playful wolf, a small helicopter, a lemon, a cheese, however surprisingly, there's no a glass.","['wolf', 'helicopter', 'lemon', 'cheese']",['glass'],"At a lively barbecue, a furry wolf, a helicopter, a fresh lemon, and a cheese are on display.",without a glass.
875,1,2,"In a quaint study, a dresser sits beside a painting, though with no cup to be seen.","['dresser', 'painting']",['cup'],"In a sunlit bedroom, a dresser sits next to a colorful painting.",A cup is conspicuously absent.
876,0,3,"A modern dining table shines brightly in a cozy living room, with a door, a sturdy sofa nearby, but ","['dining table', 'door', 'sofa']",[],"In a quaint study as the wind gently blows, you can see a wooden dining table, a door, a cozy sofa.",
877,1,1,"In a busy street, a radio is placed neatly, while with no a laptop.",['radio'],['laptop'],"At a serene lake, an intricate radio is on display.",A laptop is conspicuously absent.
878,1,4,"In a quaint study, an elegant nightstand, a board game, a shiny photo frame, and a violin create a cozy setup, however nowhere in the scene can you find a cutting board.","['nightstand', 'board game', 'photo frame', 'violin']",['cutting board'],"An elegant nightstand is placed neatly in a sunlit bedroom, with a bright board game, a photo frame, a violin nearby.",without a cutting board.
879,0,4,"On a sunny beach under a clear blue sky, you can see a helicopter, a smiling person, a blanket, an old gloves, but ","['helicopter', 'person', 'blanket', 'gloves']",[],"An old helicopter is on display on a sunny beach, with a person, a small blanket, a simple gloves nearby.",
880,1,2,"In a rustic cabin, a desk sits near a car, but with no gloves to be seen.","['desk', 'car']",['gloves'],"In a rustic cabin, a vintage desk sits next to a car.",with no a gloves.
881,0,2,"In a bustling kitchen, a chocolate sits beside a modern lamp, and yet ","['chocolate', 'lamp']",[],"On a wooden dining table, a crisp chocolate sits next to a lamp.",
882,0,1,"In a quaint study, a bookshelf is placed neatly, and yet ",['bookshelf'],[],"In a sunlit bedroom, a rustic bookshelf rests quietly.",
883,2,1,"Near a calm river, an intricate tree shines brightly, though with no a chair nor a hat.",['tree'],"['chair', 'hat']","On a grassy hill, a tree rests quietly.",It's odd that there's no a chair or a hat.
884,0,4,"A bright air conditioner shines brightly at a sunny picnic, with a tasty apple, a pizza, a drum nearby, yet ","['air conditioner', 'apple', 'pizza', 'drum']",[],"At a lively barbecue with soft music playing, you can see a simple air conditioner, a fresh apple, a pizza, a colorful drum.",
885,0,3,"In a quaint study amidst a quiet afternoon, you can see an old tape measure, an ottoman, a sun, while ","['tape measure', 'ottoman', 'sun']",[],"A large tape measure is placed neatly in a quaint study, with an ottoman, a small sun nearby.",
886,0,2,"In a bustling kitchen, a cake sits near a shiny gloves, but ","['cake', 'gloves']",[],"In a bustling kitchen, a cake sits alongside an old gloves.",
887,0,4,"In a cozy bakery, a stove, a crisp ice cream, a gloves, and a man are neatly arranged, while ","['stove', 'ice cream', 'gloves', 'man']",[],"At a lively barbecue amidst a quiet afternoon, you can see a stove, a ripe ice cream, a gloves, a cheerful man.",
888,0,3,"In a modern office with sunlight streaming in, you can see a gloves, an old train, an armchair, but ","['gloves', 'train', 'armchair']",[],"In a sunlit bedroom under a clear blue sky, you can see a gloves, a train, an elegant armchair.",
889,2,3,"In a cozy living room as the wind gently blows, you can see a soft chair, a small kettle, a sturdy bed, though no a stove or a mirror.","['chair', 'kettle', 'bed']","['stove', 'mirror']","A chair is on display in a sunlit bedroom, with an old kettle, a plush bed nearby.",without a stove nor a mirror.
890,0,2,"In a quaint study, a soft wardrobe sits next to an intricate grass, however ","['wardrobe', 'grass']",[],"In a modern office, a rustic wardrobe sits near a grass.",
891,1,2,"On a grassy hill, a small photo frame sits near a bright kettle, and yet with no candle to be seen.","['photo frame', 'kettle']",['candle'],"In a busy street, a photo frame sits alongside a large kettle.",with no candle to be seen.
892,0,1,"On a grassy hill, a tablet is on display, however ",['tablet'],[],"In a busy street, a new tablet is placed neatly.",
893,2,3,"A man sits thoughtfully at a lively barbecue, with a microwave, a tasty egg nearby, but without a table or a pencil.","['man', 'microwave', 'egg']","['table', 'pencil']","In a bustling kitchen, a man, a small microwave, and an egg are neatly arranged.",with no a table nor a pencil.
894,2,1,"In a bright room, a fan is on display, yet nowhere in the scene can you find a glass nor a laptop.",['fan'],"['glass', 'laptop']","At a serene lake, an old fan rests quietly.",Nowhere in the scene can you find a glass and no a laptop.
895,2,1,"In a quaint study, a rustic desk sits in the corner, and yet with no a pan or a mug.",['desk'],"['pan', 'mug']","In a rustic cabin, a desk rests quietly.",No a pan or a mug.
896,2,3,"An adorable turtle sits comfortably in a grassy field, with a tree, a vase nearby, and yet with no a scarf nor a kettle.","['turtle', 'tree', 'vase']","['scarf', 'kettle']","In a grassy field as the wind gently blows, you can see a turtle, a tree, a vase.",There's no sign of a scarf and no a kettle.
897,1,3,"At a sunny picnic, an ottoman, a delicious orange, and a tree are neatly arranged, though with no a sunglasses.","['ottoman', 'orange', 'tree']",['sunglasses'],"At a sunny picnic with sunlight streaming in, you can see a wooden ottoman, a warm orange, a tree.",There's no sign of a sunglasses.
898,2,4,"In a bustling kitchen with soft music playing, you can see a friendly chef, a shiny river, a drill, a fresh pasta, and yet without a headphones nor a pot.","['chef', 'river', 'drill', 'pasta']","['headphones', 'pot']","On a wooden dining table, a chef, a river, an old drill, and a pasta create a cozy setup.",There's no sign of a headphones and no a pot.
899,1,2,"Near a calm river, a new vase sits near a mountain, though you'd expect a backpack, but it's missing.","['vase', 'mountain']",['backpack'],"At a serene lake, a new vase sits beside a mountain.",with notable absence of a backpack.
900,1,1,"In a quaint study, a modern armchair rests quietly, however it's odd that there's no a kettle.",['armchair'],['kettle'],"In a rustic cabin, an armchair is on display.",There's no sign of a kettle.
901,1,1,"In a busy street, a colander sits in the corner, though no a mirror.",['colander'],['mirror'],"Near a calm river, a colander rests quietly.",A mirror is conspicuously absent.
902,0,4,"In a quaint study amidst a quiet afternoon, you can see a simple motorcycle, a shiny kettle, an intricate helicopter, an elegant dresser, while ","['motorcycle', 'kettle', 'helicopter', 'dresser']",[],"An intricate motorcycle rests quietly in a sunlit bedroom, with a small kettle, a helicopter, a dresser nearby.",
903,2,4,"At a lively barbecue, a sweet mango, a new broom, a sweet sushi, and a warm soup create a cozy setup, but with no a headphones and no a notebook.","['mango', 'broom', 'sushi', 'soup']","['headphones', 'notebook']","On a wooden dining table under a clear blue sky, you can see a mango, a bright broom, a warm sushi, a soup.","Surprisingly, there's no a headphones and no a notebook."
904,0,2,"In a cozy living room, a woman sits beside a plush dining table, however ","['woman', 'dining table']",[],"In a cozy living room, a thoughtful woman sits beside a vintage dining table.",
905,2,2,"At a busy pet store, a hat sits alongside a lively duck, though with notable absence of a phone and no a towel.","['hat', 'duck']","['phone', 'towel']","Near a quiet pond, a hat sits next to a duck.",without a phone or a towel.
906,2,1,"In a grassy field, a sheep watches curiously, yet with no a wallet or a blender.",['sheep'],"['wallet', 'blender']","Near a quiet pond, a furry sheep roams freely.",There's no sign of a wallet or a blender.
